index,location,continent,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,life_expectancy,human_development_index
0,Algeria,Africa,271945,6056.246,6881,153.241,7840131,6481186,575651,17.46,14.43,1.28,44903228,17.348,29.1,6.211,3.857,13913.839,76.88,0.748
1,Angola,Africa,105976,2977.774,1936,54.399,16490814,9574047,2985931,46.34,26.9,8.39,35588996,23.89,16.8,2.405,1.362,5819.495,61.15,0.581
2,Benin,Africa,28036,2099.624,163,12.207,3697190,2742837,NaN,27.69,20.54,NaN,13352864,99.11,18.8,3.244,1.942,2064.236,61.77,0.545
3,Botswana,Africa,330321,125583.013,2800,1064.517,1951054,1663490,507654,74.18,63.24,19.3,2630300,4.044,25.8,3.941,2.242,15807.374,69.59,0.735
4,Burkina Faso,Africa,22056,972.754,396,17.465,6089089,5232347,4056,26.86,23.08,0.02,22673764,70.151,17.6,2.409,1.358,1703.102,61.58,0.452
5,Burundi,Africa,54366,4217.825,15,1.164,36909,36321,314,0.29,0.28,0,12889583,423.062,17.5,2.562,1.504,702.225,61.58,0.433
6,Cameroon,Africa,125090,4481.177,1974,70.716,3753733,3197286,803560,13.45,11.45,2.88,27914542,50.885,18.8,3.165,1.919,3364.926,59.29,0.563
7,Cape Verde,Africa,64470,108688.689,416,701.326,356734,308720,749,60.14,52.05,0.13,593162,135.58,25.7,4.46,3.437,6222.554,72.98,0.665
8,Central African Republic,Africa,15367,2754.363,113,20.254,2600389,2484985,366221,46.61,44.54,6.56,5579148,7.479,18.3,3.655,2.251,661.24,53.28,0.397
9,Chad,Africa,7698,434.343,194,10.946,6254729,6127422,4042573,35.29,34.57,22.81,17723312,11.833,16.7,2.486,1.446,1768.153,54.24,0.398
10,Comoros,Africa,9109,10885.737,161,192.404,438825,397080,NaN,52.44,47.45,NaN,836783,437.352,20.4,2.963,1.726,1413.89,64.32,0.554
11,Congo,Africa,25196,4220.132,389,65.154,695760,654119,NaN,11.65,10.96,NaN,5970430,15.405,19,3.402,2.063,4881.406,64.57,0.574
12,Cote d'Ivoire,Africa,88338,3136.942,835,29.651,13568372,12164304,3138712,48.18,43.2,11.15,28160548,76.399,18.7,2.933,1.582,3601.006,57.78,0.538
13,Democratic Republic of Congo,Africa,99181,1001.725,1468,14.827,17045721,14399520,NaN,17.22,14.54,NaN,99010216,35.879,17,3.02,1.745,808.133,60.68,0.48
14,Djibouti,Africa,15690,13998.292,189,168.622,421573,401208,NaN,37.61,35.79,NaN,1120851,41.285,25.4,4.213,2.38,2705.406,67.11,0.524
15,Egypt,Africa,516023,4649.271,24830,223.714,56907319,42337175,15217352,51.27,38.15,13.71,110990096,97.999,25.3,5.159,2.891,10550.206,71.99,0.707
16,Equatorial Guinea,Africa,17130,10227.379,183,109.259,270109,214032,4597,16.13,12.78,0.27,1674916,45.194,22.4,2.846,1.752,22604.873,58.74,0.592
17,Eritrea,Africa,10189,2765.713,103,27.958,NaN,NaN,NaN,NaN,NaN,NaN,3684041,44.304,19.3,3.607,2.171,1510.459,66.32,0.459
18,Eswatini,Africa,75094,62490.846,1427,1187.504,526050,427335,179450,43.78,35.56,14.93,1201680,79.492,21.5,3.163,1.845,7738.975,60.19,0.611
19,Ethiopia,Africa,501060,4061.114,7574,61.388,52489512,43653006,5978070,42.54,35.38,4.85,123379928,104.957,19.8,3.526,2.063,1729.927,66.6,0.485
20,Gabon,Africa,48992,20507.351,307,128.506,311244,257471,2592,13.03,10.78,0.11,2388997,7.859,23.1,4.45,2.976,16562.413,66.47,0.703
